,series_id,FIPS,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1,id,Area_Type,area_text,display_level,selectable,sort_sequence,FIPS_code
0,LAUCN010010000000003,CN0100100000000,4.192,5.9,,,0,-24108,5.192,2014M12_3moAve,72,1202,F,"Autauga County, AL",0,T,27,
1,LAUCN010030000000003,CN0100300000000,3.832,5.6,,,0,-24108,4.832,,-24108,1203,F,"Baldwin County, AL",0,T,28,
2,LAUCN010050000000003,CN0100500000000,7.48,10.2,,,0,-24108,8.48,,-24108,1204,F,"Barbour County, AL",0,T,29,CN0100500000000
3,LAUCN010070000000003,CN0100700000000,4.916,7.1,,,0,-24108,5.916,,-24108,1205,F,"Bibb County, AL",0,T,30,CN0100700000000
4,LAUCN010090000000003,CN0100900000000,3.892,5.8,,,0,-24108,4.892,,-24108,1206,F,"Blount County, AL",0,T,31,CN0100900000000
5,LAUCN010110000000003,CN0101100000000,9.924,8.2,2010M05,2012M03_3moAve,2012M03_3moAve,39,10.924,2010M05_3moAve,17,1207,F,"Bullock County, AL",0,T,32,CN0101100000000
6,LAUCN010130000000003,CN0101300000000,7.296,8.4,2014M11,2014M12_3moAve,2014M12_3moAve,72,8.296,2014M10_3moAve,70,1208,F,"Butler County, AL",0,T,33,CN0101300000000
7,LAUCN010150000000003,CN0101500000000,4.764,7.7,,,0,-24108,5.764,,-24108,1209,F,"Calhoun County, AL",0,T,34,CN0101500000000
8,LAUCN010170000000003,CN0101700000000,10.308,6.9,2011M11,2012M03_3moAve,2012M03_3moAve,39,11.308,2011M11_3moAve,35,1210,F,"Chambers County, AL",0,T,35,CN0101700000000
9,LAUCN010190000000003,CN0101900000000,4.932,5.9,2014M09,2014M11_3moAve,2014M11_3moAve,71,5.932,2014M05_3moAve,65,1211,F,"Cherokee County, AL",0,T,36,CN0101900000000
10,LAUCN010210000000003,CN0102100000000,4.192,6.2,,,0,-24108,5.192,2015M04_3moAve,76,1212,F,"Chilton County, AL",0,T,37,CN0102100000000
11,LAUCN010230000000003,CN0102300000000,7.088,10.5,,,0,-24108,8.088,2014M11_3moAve,71,1213,F,"Choctaw County, AL",0,T,38,CN0102300000000
12,LAUCN010250000000003,CN0102500000000,7.464,13.5,,,0,-24108,8.464,,-24108,1214,F,"Clarke County, AL",0,T,39,CN0102500000000
13,LAUCN010270000000003,CN0102700000000,6.68,6.9,2014M04,2014M11_3moAve,2014M11_3moAve,71,7.68,2013M12_3moAve,60,1215,F,"Clay County, AL",0,T,40,CN0102700000000
14,LAUCN010290000000003,CN0102900000000,4.336,6.6,,,0,-24108,5.336,,-24108,1216,F,"Cleburne County, AL",0,T,41,CN0102900000000
15,LAUCN010310000000003,CN0103100000000,4.308,6.6,,,0,-24108,5.308,,-24108,1217,F,"Coffee County, AL",0,T,42,CN0103100000000
16,LAUCN010330000000003,CN0103300000000,5.512,8.6,,,0,-24108,6.512,,-24108,1218,F,"Colbert County, AL",0,T,43,CN0103300000000
17,LAUCN010350000000003,CN0103500000000,7.828,9.6,,,0,-24108,8.828,2015M04_3moAve,76,1219,F,"Conecuh County, AL",0,T,44,CN0103500000000
18,LAUCN010370000000003,CN0103700000000,6.96,7.4,2015M04,2015M04_3moAve,2015M04_3moAve,76,7.96,2014M11_3moAve,71,1220,F,"Coosa County, AL",0,T,45,CN0103700000000
19,LAUCN010390000000003,CN0103900000000,4.864,7.4,,,0,-24108,5.864,,-24108,1221,F,"Covington County, AL",0,T,46,CN0103900000000
20,LAUCN010410000000003,CN0104100000000,4.912,6.5,,,0,-24108,5.912,2014M11_3moAve,71,1222,F,"Crenshaw County, AL",0,T,47,CN0104100000000
21,LAUCN010430000000003,CN0104300000000,4.104,5.7,,,0,-24108,5.104,2014M12_3moAve,72,1223,F,"Cullman County, AL",0,T,48,CN0104300000000
22,LAUCN010450000000003,CN0104500000000,4.66,7.0,,,0,-24108,5.66,,-24108,1224,F,"Dale County, AL",0,T,49,CN0104500000000
23,LAUCN010470000000003,CN0104700000000,9.64,11.6,2014M12,2015M02_3moAve,2015M02_3moAve,74,10.64,2014M11_3moAve,71,1225,F,"Dallas County, AL",0,T,50,CN0104700000000
24,LAUCN010490000000003,CN0104900000000,5.024,6.6,,,0,-24108,6.024,2014M11_3moAve,71,1226,F,"DeKalb County, AL",0,T,51,CN0104900000000
25,LAUCN010510000000003,CN0105100000000,4.172,5.6,,,0,-24108,5.172,2014M11_3moAve,71,1227,F,"Elmore County, AL",0,T,52,CN0105100000000
26,LAUCN010530000000003,CN0105300000000,6.388,8.1,2015M04,,0,-24108,7.388,2014M11_3moAve,71,1228,F,"Escambia County, AL",0,T,53,CN0105300000000
